p1,p2,p3,p4,players,team1,team2,ordered_key,unique_key,played_ordered,played_unique,elo_pred_team1_win_prob,trueskill_pred_team1_win_prob,tree_pred_team1_win_prob,sort_prob,closeness
FZ,TT,TD,RS,"['FZ', 'TT', 'TD', 'RS']",FZ + TT,TD + RS,FZ|TT|TD|RS,"FZ,TT||RS,TD",False,False,0.5650617765564522,0.986700293928205,0.9898937787755634,0.9898937787755634,0.4898937787755634
AC,SY,RS,TD,"['AC', 'SY', 'RS', 'TD']",AC + SY,RS + TD,AC|SY|RS|TD,"AC,SY||RS,TD",False,False,0.5277209013331118,0.979054188099789,0.9899385909529627,0.9899385909529627,0.48993859095296266
AC,SY,TD,RS,"['AC', 'SY', 'TD', 'RS']",AC + SY,TD + RS,AC|SY|TD|RS,"AC,SY||RS,TD",False,False,0.5277209013331118,0.979054188099789,0.989948254870618,0.989948254870618,0.489948254870618
RS,AC,NS,CH,"['RS', 'AC', 'NS', 'CH']",RS + AC,NS + CH,RS|AC|NS|CH,"AC,RS||CH,NS",False,False,0.42954223372697237,0.01665375324665794,0.009994072753941017,0.009994072753941017,0.49000592724605896
CH,NS,TD,SY,"['CH', 'NS', 'TD', 'SY']",CH + NS,TD + SY,CH|NS|TD|SY,"CH,NS||SY,TD",False,True,0.5245360358403117,0.6842648338952637,0.9900739748988255,0.9900739748988255,0.49007397489882554
AC,TT,SY,RS,"['AC', 'TT', 'SY', 'RS']",AC + TT,SY + RS,AC|TT|SY|RS,"AC,TT||RS,SY",False,False,0.43825880481684226,0.6843556822673982,0.00991350906682839,0.00991350906682839,0.49008649093317164
NS,SY,AC,TT,"['NS', 'SY', 'AC', 'TT']",NS + SY,AC + TT,NS|SY|AC|TT,"AC,TT||NS,SY",False,False,0.5761125263261211,0.8763285063689374,0.9901068086150051,0.9901068086150051,0.4901068086150051
NS,SY,TT,AC,"['NS', 'SY', 'TT', 'AC']",NS + SY,TT + AC,NS|SY|TT|AC,"AC,TT||NS,SY",False,False,0.5761125263261211,0.8763285063689374,0.9901284828300667,0.9901284828300667,0.4901284828300667
NS,RS,CH,SY,"['NS', 'RS', 'CH', 'SY']",NS + RS,CH + SY,NS|RS|CH|SY,"CH,SY||NS,RS",False,False,0.43546763556053386,0.014837861627152848,0.009869262156221999,0.009869262156221999,0.490130737843778
RS,NS,CH,SY,"['RS', 'NS', 'CH', 'SY']",RS + NS,CH + SY,RS|NS|CH|SY,"CH,SY||NS,RS",False,False,0.43546763556053386,0.014837861627152848,0.009869262156221999,0.009869262156221999,0.490130737843778
AC,TT,RS,SY,"['AC', 'TT', 'RS', 'SY']",AC + TT,RS + SY,AC|TT|RS|SY,"AC,TT||RS,SY",False,False,0.43825880481684226,0.6843556822673982,0.009716451935935113,0.009716451935935113,0.4902835480640649
TD,TT,RS,FZ,"['TD', 'TT', 'RS', 'FZ']",TD + TT,RS + FZ,TD|TT|RS|FZ,"FZ,RS||TD,TT",False,False,0.4130582099779857,0.47651157290691926,0.009703851062856001,0.009703851062856001,0.490296148937144
TT,TD,RS,FZ,"['TT', 'TD', 'RS', 'FZ']",TT + TD,RS + FZ,TT|TD|RS|FZ,"FZ,RS||TD,TT",False,False,0.4130582099779857,0.47651157290691926,0.009703851062856001,0.009703851062856001,0.490296148937144
RS,AC,CH,NS,"['RS', 'AC', 'CH', 'NS']",RS + AC,CH + NS,RS|AC|CH|NS,"AC,RS||CH,NS",False,False,0.42954223372697237,0.01665375324665794,0.009679708456259605,0.009679708456259605,0.4903202915437404
AC,TT,RS,FZ,"['AC', 'TT', 'RS', 'FZ']",AC + TT,RS + FZ,AC|TT|RS|FZ,"AC,TT||FZ,RS",False,False,0.4040576363581873,0.5499667451607998,0.009522654524778578,0.009522654524778578,0.4904773454752214
AC,RS,CH,FZ,"['AC', 'RS', 'CH', 'FZ']",AC + RS,CH + FZ,AC|RS|CH|FZ,"AC,RS||CH,FZ",False,False,0.3743225203652582,0.0024287057548612566,0.009461352325205948,0.009461352325205948,0.49053864767479405
RS,AC,CH,FZ,"['RS', 'AC', 'CH', 'FZ']",RS + AC,CH + FZ,RS|AC|CH|FZ,"AC,RS||CH,FZ",False,False,0.3743225203652582,0.0024287057548612566,0.009461352325205948,0.009461352325205948,0.49053864767479405
SY,AC,CH,NS,"['SY', 'AC', 'CH', 'NS']",SY + AC,CH + NS,SY|AC|CH|NS,"AC,SY||CH,NS",False,True,0.46618361801392066,0.38924287009634506,0.9905408650943685,0.9905408650943685,0.49054086509436845
