game_id,player,trueskill_mu_after,trueskill_sigma_after,trueskill_conservative_after
41,CH,27.566455290000345,2.726205745806407,19.387838052581124
42,CH,27.6718140374499,2.7059667930800457,19.553913658209762
44,CH,27.880138439902748,2.6717503505378986,19.864887388289052
45,CH,26.794733020842287,2.600004524046746,18.99471944870205
46,CH,26.65007613852199,2.5750086045638243,18.925050324830515
47,CH,27.593635528807855,2.5116311546188914,20.058742064951183
49,CH,27.94783594890783,2.471110178588797,20.53450541314144
50,CH,28.671192860669265,2.4160101085300867,21.423162535079005
51,CH,28.77217395769009,2.399079037451174,21.574936845336566
52,CH,29.263682151122147,2.3558292966012058,22.19619426131853
53,CH,28.674289345343308,2.309865485407892,21.744692889119634
54,CH,27.921486352059496,2.2618288201207557,21.135999891697228
55,CH,27.77345804140012,2.2412207242649527,21.04979586860526
56,CH,28.307523383020232,2.2003248248806524,21.706548908378274
58,CH,28.218524207240204,2.1864535595946393,21.659163528456286
59,CH,28.47637011336492,2.1591289622806005,21.998983226523116
60,CH,28.890761150202277,2.125315746015646,22.51481391215534
61,CH,28.545822152101223,2.0945668248064,22.262121677682025
62,CH,27.85632340690953,2.0605437277947174,21.67469222352538
63,CH,27.951248119226857,2.0485549130186524,21.8055833801709
64,CH,28.039375986972633,2.0374561802136517,21.92700744633168
66,CH,28.724994804540042,2.0043171033758864,22.712043494412384
67,CH,29.37660916730774,1.9719612691028607,23.46072535999916
68,CH,29.645154182852238,1.948686986127307,23.79909322447032
69,CH,29.264951832176113,1.923417248100399,23.494700087874918
71,CH,29.487979016131977,1.9030217226145045,23.77891384828846
72,CH,29.20114904629542,1.880245556378348,23.560412377160375
73,CH,29.037753215808515,1.8639362366482077,23.445944505863892
74,CH,28.70111661947226,1.8408651410203651,23.178521196411165
75,CH,28.585957202163012,1.8286740421615224,23.099935075678445
76,CH,28.234542469818503,1.8060225662219773,22.81647477115257
78,CH,28.08969358718289,1.7927307077361634,22.7115014639744
79,CH,27.596506428041508,1.7690720452111628,22.28929029240802
80,CH,27.91657061956888,1.7495486582095612,22.667924644940197
81,CH,28.012759722517707,1.740066957795823,22.792558849130238
82,CH,28.24966310419043,1.7235435647152029,23.07903241004482
83,CH,28.305873610803545,1.7178362667476132,23.152364810560705
84,CH,28.55918088772798,1.7017226723232826,23.45401287075813
85,CH,28.729110584471684,1.6880840864726663,23.664858325053686
86,CH,28.607613912531733,1.6772504453091501,23.575862576604283
89,CH,28.871823590402517,1.661304284647672,23.887910736459503
90,CH,29.177799792126894,1.64382951396319,24.246311250237326
93,CH,29.236330426977023,1.638265491371549,24.321533952862374
94,CH,28.863684318829087,1.6199585554510274,24.003808652476003
95,CH,29.06597074313755,1.6063275661566159,24.246988044667702
96,CH,29.003412418066823,1.6006738794190358,24.201390779809714
97,CH,28.916575341270182,1.5933616604445977,24.13649035993639
99,CH,29.10662316592908,1.581043131452349,24.36349377157203
100,CH,29.43402728904788,1.565303857101476,24.73811571774345
101,CH,29.31516183595891,1.5566701257925457,24.645151458581275
102,CH,29.26834386306031,1.5527857828836131,24.60998651440947
103,CH,29.291620166327426,1.5513896409335706,24.637451243526716
105,CH,29.353436259637853,1.5462734927810378,24.71461578129474
106,CH,29.546947263786205,1.534592970472406,24.943168352368986
107,CH,29.788995672646788,1.5220055084730442,25.222979147227655
108,CH,29.734952536911987,1.5177365221654124,25.181742970415748
114,CH,29.31715668412845,1.5021880175133715,24.810592631588335
115,CH,29.470461310389563,1.4925529235341255,24.992802539787185
116,CH,29.414059323894797,1.488248300958041,24.949314421020674
117,CH,29.148186020485483,1.4757194087795267,24.721027794146902
118,CH,29.227642263988315,1.469981600169315,24.81769746348037
119,CH,29.175059215867325,1.4661492624535226,24.776611428506758
120,CH,28.939729943223767,1.4547304559639025,24.57553857533206
121,CH,29.01314585182217,1.4495741870527399,24.66442329066395
122,CH,29.072295420616427,1.4454724559854022,24.73587805266022
123,CH,29.29647035404947,1.4349159167290506,24.99172260386232
125,CH,29.449190890151176,1.4264403507906005,25.169869837779373
