matchup_id,team1,team2,team1_elo,team2_elo,elo_diff,avg_elo,pred_team1_win_prob
67,FZ + AC,TT + CH,1517.875620899602,1516.460271113781,1.4153497858210358,1517.1679460066914,0.5081466872692929
68,TT + FZ,CH + AC,1533.7853643171652,1500.5505276962174,33.23483662094782,1517.1679460066912,0.6824947310655967
69,CH + FZ,TT + AC,1567.8000565920738,1466.5358354213088,101.26422117076504,1517.1679460066912,0.911468197156306
70,FZ + SY,TT + CH,1555.1833060397548,1516.460271113781,38.723034925973934,1535.8217885767679,0.7092266038949805
71,CH + SY,TT + FZ,1537.8582128363705,1533.7853643171652,4.0728485192053085,1535.8217885767679,0.5234280327508796
72,CH + FZ,TT + SY,1567.8000565920738,1503.843520561462,63.956536030611915,1535.8217885767679,0.8134603949463145
73,TT + CH,AC + SY,1516.460271113781,1487.9337771438984,28.526493969882495,1502.1970241288395,0.6585517099976553
74,CH + SY,TT + AC,1537.8582128363705,1466.5358354213088,71.32237741506174,1502.1970241288395,0.8378420081986958
75,TT + SY,CH + AC,1503.843520561462,1500.5505276962174,3.292992865244514,1502.1970241288395,0.518946913994535
76,TD + FZ,TT + RS,1521.7241184433185,1464.398807856678,57.3253105866404,1493.0614631499984,0.7891757263285684
77,RS + FZ,TT + TD,1515.738593334971,1470.3843329650254,45.35426036994568,1493.0614631499982,0.7396827769096954
78,TT + FZ,RS + TD,1533.7853643171652,1452.3375619828312,81.44780233433403,1493.0614631499982,0.867082438013984
79,TT + RS,TD + AC,1464.398807856678,1454.474589547462,9.92421830921603,1459.43669870207,0.5568810877997267
80,TT + TD,RS + AC,1470.3843329650254,1448.4890644391146,21.89526852591075,1459.4366987020699,0.6234357875769724
81,TT + AC,RS + TD,1466.5358354213088,1452.3375619828312,14.1982734384776,1459.4366987020699,0.5810115610506508
82,TD + SY,TT + RS,1491.782274687615,1464.398807856678,27.383466830936868,1478.0905412721465,0.6526090899758977
83,RS + SY,TT + TD,1485.7967495792677,1470.3843329650254,15.412416614242375,1478.0905412721465,0.5878014348235711
84,TT + SY,RS + TD,1503.843520561462,1452.3375619828312,51.505958578630725,1478.0905412721465,0.7660192627755313
85,FZ + AC,TT + RS,1517.875620899602,1464.398807856678,53.47681304292382,1491.13721437814,0.7740546155237639
86,TT + FZ,RS + AC,1533.7853643171652,1448.4890644391146,85.2962998780506,1491.13721437814,0.8769673382049349
87,RS + FZ,TT + AC,1515.738593334971,1466.5358354213088,49.20275791366225,1491.13721437814,0.756380204158437
88,FZ + SY,TT + RS,1555.1833060397548,1464.398807856678,90.78449818307672,1509.7910569482165,0.8899656544272645
89,TT + FZ,RS + SY,1533.7853643171652,1485.7967495792677,47.98861473789748,1509.7910569482165,0.7511917992232161
90,RS + FZ,TT + SY,1515.738593334971,1503.843520561462,11.895072773509128,1509.7910569482165,0.5680486677116515
91,AC + SY,TT + RS,1487.9337771438984,1464.398807856678,23.534969287220292,1476.1662925002884,0.6322572469281513
92,RS + SY,TT + AC,1485.7967495792677,1466.5358354213088,19.26091415795895,1476.1662925002884,0.6090924411337607
93,TT + SY,RS + AC,1503.843520561462,1448.4890644391146,55.3544561223473,1476.1662925002884,0.7815263501323769
94,FZ + AC,TT + TD,1517.875620899602,1470.3843329650254,47.491287934576576,1494.1299769323136,0.7490453561822529
95,TT + FZ,TD + AC,1533.7853643171652,1454.474589547462,79.31077476970313,1494.1299769323136,0.8613081863715235
96,TD + FZ,TT + AC,1521.7241184433185,1466.5358354213088,55.18828302200973,1494.1299769323136,0.7808723367367466
97,FZ + SY,TT + TD,1555.1833060397548,1470.3843329650254,84.79897307472947,1512.78381950239,0.8757264420326897
98,TT + FZ,TD + SY,1533.7853643171652,1491.782274687615,42.00308962955023,1512.78381950239,0.724552441189617
99,TD + FZ,TT + SY,1521.7241184433185,1503.843520561462,17.880597881856602,1512.78381950239,0.6014992675269241
100,AC + SY,TT + TD,1487.9337771438984,1470.3843329650254,17.549444178873046,1479.159055054462,0.5996701413118772
101,TD + SY,TT + AC,1491.782274687615,1466.5358354213088,25.246439266306197,1479.159055054462,0.6413712535601962
102,TT + SY,TD + AC,1503.843520561462,1454.474589547462,49.36893101399983,1479.159055054462,0.7570845772957456
103,TT + FZ,AC + SY,1533.7853643171652,1487.9337771438984,45.85158717326681,1510.8595707305317,0.7418817041401986
104,FZ + SY,TT + AC,1555.1833060397548,1466.5358354213088,88.64747061844605,1510.8595707305317,0.8850537188641414
105,FZ + AC,TT + SY,1517.875620899602,1503.843520561462,14.032100338140026,1510.859570730532,0.5800798154828569
106,NS + CH,RS + TD,1525.943296556105,1452.3375619828312,73.60573457327382,1489.140429269468,0.8448589086658448
107,CH + TD,NS + RS,1504.399025239934,1473.8818332990022,30.517191940931752,1489.140429269468,0.6687826498645835
108,CH + RS,NS + TD,1498.4135001315867,1479.8673584073495,18.54614172423726,1489.140429269468,0.6051667926865366
109,NS + CH,RS + FZ,1525.943296556105,1515.738593334971,10.204703221133968,1520.840944945538,0.558474202061473
110,CH + FZ,NS + RS,1567.8000565920738,1473.8818332990022,93.9182232930716,1520.840944945538,0.8968354402870484
111,NS + FZ,CH + RS,1543.2683897594893,1498.4135001315867,44.854889627902594,1520.840944945538,0.7374626338937706
112,NS + CH,RS + AC,1525.943296556105,1448.4890644391146,77.4542321169904,1487.21618049761,0.8561222995081482
113,CH + AC,NS + RS,1500.5505276962174,1473.8818332990022,26.668694397215177,1487.21618049761,0.6488685232636238
114,CH + RS,NS + AC,1498.4135001315867,1476.0188608636329,22.394639267953835,1487.21618049761,0.6261313463861444
115,NS + CH,RS + SY,1525.943296556105,1485.7967495792677,40.14654697683727,1505.8700230676864,0.7159394966443108
116,CH + SY,NS + RS,1537.8582128363705,1473.8818332990022,63.9763795373683,1505.8700230676864,0.8135297182695135
117,NS + SY,CH + RS,1513.326546003786,1498.4135001315867,14.913045872199291,1505.8700230676864,0.5850126835204583
118,NS + CH,TD + FZ,1525.943296556105,1521.7241184433185,4.219178112786494,1523.8337074997116,0.524268457115206
119,CH + FZ,NS + TD,1567.8000565920738,1479.8673584073495,87.93269818472436,1523.8337074997116,0.8833687216383931
120,NS + FZ,CH + TD,1543.2683897594893,1504.399025239934,38.86936451955535,1523.8337074997116,0.7099209581143219
121,NS + CH,TD + AC,1525.943296556105,1454.474589547462,71.46870700864292,1490.2089430517835,0.8382992583436231
122,CH + AC,NS + TD,1500.5505276962174,1479.8673584073495,20.68316928886793,1490.2089430517835,0.6168614030910945
123,CH + TD,NS + AC,1504.399025239934,1476.0188608636329,28.38016437630108,1490.2089430517835,0.6577936661314994
124,NS + CH,TD + SY,1525.943296556105,1491.782274687615,34.161021868490025,1508.86278562186,0.6870979373039563
125,CH + SY,NS + TD,1537.8582128363705,1479.8673584073495,57.990854429021056,1508.86278562186,0.7917141136428366
126,NS + SY,CH + TD,1513.326546003786,1504.399025239934,8.927520763852044,1508.86278562186,0.551210735411921
127,NS + CH,FZ + AC,1525.943296556105,1517.875620899602,8.06767565650307,1521.9094587278535,0.5463081812994622
128,NS + FZ,CH + AC,1543.2683897594893,1500.5505276962174,42.71786206327192,1521.9094587278532,0.727824946711762
129,CH + FZ,NS + AC,1567.8000565920738,1476.0188608636329,91.78119572844093,1521.9094587278532,0.8921930236188614
130,FZ + SY,NS + CH,1555.1833060397548,1525.943296556105,29.24000948364983,1540.56330129793,0.6622363441180765
131,NS + FZ,CH + SY,1543.2683897594893,1537.8582128363705,5.410176923118797,1540.56330129793,0.5311032688039448
