game_id,day,date,player,elo_after_game
51,10,,NS,1524.7819359520483
52,10,,NS,1521.924569915761
53,10,,NS,1518.5173151683705
54,11,,NS,1515.6917978729584
55,11,,NS,1518.496921381774
56,11,,NS,1515.1331555074823
57,11,,NS,1512.493306786911
59,11,,NS,1508.6993497824114
60,11,,NS,1511.5156385694881
61,11,,NS,1514.251124005549
62,12,,NS,1510.6085668106873
63,12,,NS,1507.9477395774804
64,12,,NS,1511.6023548239787
65,12,,NS,1508.053432061599
67,12,,NS,1505.2701184520906
68,12,,NS,1508.5304760984732
69,12,,NS,1505.761635980786
70,12,,NS,1508.6218688721067
71,13,,NS,1505.2524126950661
72,13,,NS,1508.2384362502432
73,13,,NS,1505.3082155037494
75,13,,NS,1509.330590121587
76,13,,NS,1506.2788564637099
77,13,,NS,1503.364946429497
78,13,,NS,1506.5292525794414
79,13,,NS,1509.4845612351282
80,13,,NS,1512.254066532261
83,13,,NS,1515.2944092016346
84,13,,NS,1511.5036056846006
85,14,,NS,1508.0404769510574
86,14,,NS,1504.5570213252458
87,14,,NS,1501.2161916481705
89,14,,NS,1498.1786373990046
90,14,,NS,1495.4297393755019
91,14,,NS,1492.6285273141202
92,14,,NS,1496.260505418029
94,14,,NS,1499.1334705604875
95,15,,NS,1496.3366787346733
97,15,,NS,1499.8984842873583
98,15,,NS,1495.9581394520605
99,15,,NS,1498.9090805390726
100,15,,NS,1496.100459808479
7,2,,RS,1496.562882380284
8,2,,RS,1492.7428474824746
10,2,,RS,1495.4584144467426
11,2,,RS,1498.3007842045602
12,2,,RS,1495.3006015078881
15,3,,RS,1492.1093388800266
16,3,,RS,1489.2238861890016
17,3,,RS,1486.423256706622
18,3,,RS,1483.2125052776773
19,4,,RS,1479.6502802666985
20,4,,RS,1476.3761389115148
21,4,,RS,1473.4074449079515
23,4,,RS,1470.1393335612643
1,1,,SY,1496.547619047619
2,1,,SY,1493.220910206328
4,1,,SY,1496.923020867468
5,1,,SY,1499.6820921321341
6,2,,SY,1503.8317323124063
7,2,,SY,1507.2688499321223
9,2,,SY,1504.1774006175494
